CompanyName,Name,City,E_Province,Latitude,Longitude,E_NAIC_Name,CO2_eq,E_Units,Symbol,Report_Year,E_DetailPageURL
Bonavista Energy Corporation,FAIRBORNE HZ PINE CK 16-3-56-19,Yellowhead,Alberta,53.564779999999999,-116.719200000000001,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112279&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Prairie Provident Resources,Craigmyle East Compressor Station 13-28,Craigmyle,Alberta,51.690899999999999,-112.222499999999997,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112469&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Coastal Resources Ltd.,Markerville Compressor Station 11-21-036-02W5,Markerville,Alberta,0.000000000000000,0.000000000000000,Conventional Oil and Gas Extraction,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110853&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Seven Generations Energy Ltd.,7G 06-18-063-04W6,Kakwa,Alberta,54.448920000000001,-118.594930000000005,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112246&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Husky Oil Operations Limited,CELTIC BT 05-16-052-23W3,Saskatoon,Saskatchewan,53.486980000000003,-109.350530000000006,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112266&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Husky Oil Operations Limited,CELTIC BT 10-17-052-23W3,Richmond,British Columbia,53.491720000000001,-109.356989999999996,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111968&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Glencore Canada Corporation,Brunswick Mine,Bathurst,New Brunswick,47.471699999999998,-65.889700000000005,Lead-Zinc Ore Mining,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110655&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
TransAlta Generation Partnership,Wabamun Thermal Electric Power Generating Plant,Wabamun,Alberta,0.000000000000000,0.000000000000000,Fossil-Fuel Electric Power Generation,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110311&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Suncor Energy Inc.  Oil Sands,Suncor Energy Inc.  Oil Sands,22 km NE of Fort McMurray,Alberta,0.000000000000000,0.000000000000000,Non-Conventional Oil Extraction,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110280&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Baytex Energy Ltd,Carruthers	15-18-047-24W3,Carruthers,Saskatchewan,53.057830000000003,-109.500659999999996,In-situ oil sands extraction,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112063&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Peyto Exploration and Development Corporation,Peyto Galloway 09-34-053-20W5,,Alberta,53.623399999999997,-116.858599999999996,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111117&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Ember Resources Inc.,AG20 ABGS0103393 GAYFORD 12-35 GGS,Gayford,Alberta,51.263800000000003,-113.199399999999997,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112386&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Crescent Point Energy Corp.,Torquay Oil SWB 04-26,,Saskatchewan,49.059510000000003,-103.517250000000004,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111572&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
North American Lithium,North American Lithium,La Corne,Quebec,48.405790000000003,-77.827820000000003,All Other Metal Ore Mining,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111736&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Crescent Point Energy Corp.,Oungre Oil SWB 04-34,,Saskatchewan,49.161450000000002,-103.673169999999999,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111583&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
NAL Resources Management,WestWard Ho 01-24,Calgary,Alberta,51.840449999999997,-114.571569999999994,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112283&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
PEI Energy Systems,UPEI Boiler,Charlottetown,Prince Edward Island,46.251399999999997,-63.107999999999997,Steam and Air-Conditioning Supply,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110624&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Alberta  Health Services,Alberta Children's Hospital,Calgary,Alberta,51.070000000000000,-114.150000000000006,Paediatric Hospitals,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111918&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
